symbol,start_date,end_date,initial_balance,final_balance,return_pct,num_trades,overbought,oversold,use_sma,sma_window,use_macd,error
MMM,2023-07-03,2024-07-02,10000.0,11436.869636535645,14.368696365356445,47.0,70.0,30.0,False,N/A,True,
AOS,2023-07-03,2024-07-02,10000.0,9265.440299987793,-7.34559700012207,25.0,70.0,30.0,False,N/A,True,
ABT,2023-07-03,2024-07-02,10000.0,8632.499961853027,-13.675000381469726,46.0,70.0,30.0,False,N/A,True,
ABBV,2023-07-03,2024-07-02,10000.0,9965.319915771484,-0.3468008422851563,22.0,70.0,30.0,False,N/A,True,
ACN,2023-07-03,2024-07-02,10000.0,10152.469940185547,1.5246994018554687,40.0,70.0,30.0,False,N/A,True,
ADBE,2023-07-03,2024-07-02,10000.0,12269.901611328125,22.69901611328125,41.0,70.0,30.0,False,N/A,True,
AMD,2023-07-03,2024-07-02,10000.0,12445.471221923828,24.45471221923828,24.0,70.0,30.0,False,N/A,True,
AES,2023-07-03,2024-07-02,10000.0,8196.660593032837,-18.033394069671633,52.0,70.0,30.0,False,N/A,True,
AFL,2023-07-03,2024-07-02,10000.0,11611.560905456543,16.11560905456543,12.0,70.0,30.0,False,N/A,True,
A,2023-07-03,2024-07-02,10000.0,10923.850852966309,9.238508529663086,34.0,70.0,30.0,False,N/A,True,
APD,2023-07-03,2024-07-02,10000.0,9984.129211425781,-0.1587078857421875,32.0,70.0,30.0,False,N/A,True,
ABNB,2023-07-03,2024-07-02,10000.0,12496.920333862305,24.969203338623046,35.0,70.0,30.0,False,N/A,True,
AKAM,2023-07-03,2024-07-02,10000.0,9384.439514160156,-6.155604858398438,36.0,70.0,30.0,False,N/A,True,
ALB,2023-07-03,2024-07-02,10000.0,7860.420196533203,-21.39579803466797,77.0,70.0,30.0,False,N/A,True,
ARE,2023-07-03,2024-07-02,10000.0,10743.24870300293,7.432487030029297,31.0,70.0,30.0,False,N/A,True,
ALGN,2023-07-03,2024-07-02,10000.0,5022.100357055664,-49.77899642944336,57.0,70.0,30.0,False,N/A,True,
ALLE,2023-07-03,2024-07-02,10000.0,9607.318939208984,-3.926810607910156,42.0,70.0,30.0,False,N/A,True,
LNT,2023-07-03,2024-07-02,10000.0,9865.360176086426,-1.346398239135742,27.0,70.0,30.0,False,N/A,True,
